date,ping,download,upload,server
2015-09-05 15:09:10,108.4,32.648,5.083,speedtest05.suddenlink.net
2015-09-05 15:09:48,103.5,30.806,5.631,aus.speedtest.sbcglobal.net
2015-09-05 16:09:43,116.8,3.872,5.001,speed.ecpi.com
2015-09-05 16:09:40,97.7,30.076,5.62,aus.speedtest.sbcglobal.net
2015-09-05 17:09:27,96.5,15.257,5.27,aus.speedtest.sbcglobal.net
2015-09-05 17:09:81,104.3,32.965,5.673,aus.speedtest.sbcglobal.net
2015-09-05 18:09:57,115,24.664,5.401,speed.ecpi.com
2015-09-05 18:09:08,120.9,23.012,5.451,austx-speedtest-01-a.texas.rr.com
2015-09-05 19:09:05,102.2,7.627,4.649,aus.speedtest.sbcglobal.net
2015-09-05 19:09:78,136.8,30.097,5.182,speedtest05.suddenlink.net
2015-09-05 20:09:13,92,28.119,4.783,aus.speedtest.sbcglobal.net
2015-09-05 20:09:14,100.2,16.964,4.847,aus.speedtest.sbcglobal.net
2015-09-05 21:09:74,116.1,27.425,4.884,speed.ecpi.com
2015-09-05 21:09:55,96.8,31.753,5.365,aus.speedtest.sbcglobal.net
2015-09-05 22:09:16,109.3,23.79,5.009,speedtest05.suddenlink.net
2015-09-05 22:09:43,108.9,9.924,4.658,aus.speedtest.sbcglobal.net
2015-09-05 23:09:90,107.1,10.855,4.437,aus.speedtest.sbcglobal.net
